term,subject,course,section,title,capacity,dow,start,end,room,instructor
202301,COMP,1103,001,Introduction to Computers,50,Tuesday,14:30,15:50,T107,Jim Davis
202301,COMP,1103,001,Introduction to Computers,50,Thursday,14:30,15:50,T107,Jim Davis
202301,COMP,1103,002,Introduction to Computers,50,Tuesday,11:30,12:50,EA2031,Jim Davis
202301,COMP,1103,002,Introduction to Computers,50,Thursday,11:30,12:50,EA2031,Jim Davis
202301,COMP,1103,003,Introduction to Computers,25,Tuesday,16:00,17:20,O222,Jim Davis
202301,COMP,1103,003,Introduction to Computers,25,Thursday,16:00,17:20,O222,Jim Davis
202301,COMP,1103,501,Introduction to Computers,25,Wednesday,14:00,14:50,E203,Jim Davis
202301,COMP,1103,502,Introduction to Computers,25,Wednesday,13:00,13:50,E203,Jim Davis
202301,COMP,1103,503,Introduction to Computers,25,Wednesday,11:30,12:20,E203,Jim Davis
202301,COMP,1103,504,Introduction to Computers,25,Wednesday,10:30,11:20,E203,Jim Davis
202301,COMP,1103,505,Introduction to Computers,25,Monday,11:30,12:20,E203,Jim Davis
202301,COMP,1501,001,Programming I: Introduction to Problem Solving and Programming,20,Monday,10:00,11:20,T235,Charlotte Curtis
202301,COMP,1501,001,Programming I: Introduction to Problem Solving and Programming,20,Wednesday,10:00,11:20,T235,Charlotte Curtis
202301,COMP,1501,101,Programming I: Introduction to Problem Solving and Programming,20,Monday,10:00,11:20,T235,Charlotte Curtis
202301,COMP,1501,101,Programming I: Introduction to Problem Solving and Programming,20,Wednesday,10:00,11:20,T235,Charlotte Curtis
202301,COMP,1501,401,Programming I: Introduction to Problem Solving and Programming,20,Tuesday,10:00,10:50,B107,Charlotte Curtis
202301,COMP,1501,402,Programming I: Introduction to Problem Solving and Programming,20,Tuesday,13:30,14:20,B107,Charlotte Curtis
202301,COMP,1501,501,Programming I: Introduction to Problem Solving and Programming,20,Wednesday,11:30,12:20,B107,Charlotte Curtis
202301,COMP,1501,502,Programming I: Introduction to Problem Solving and Programming,20,Wednesday,12:30,13:20,B162,Charlotte Curtis
202301,COMP,1502,001,Programming II: Object Oriented Programming,40,Monday,11:30,12:50,T137,Eric Chalmers
202301,COMP,1502,001,Programming II: Object Oriented Programming,40,Wednesday,11:30,12:50,T137,Eric Chalmers
